Location,School Management,School Category,Academic Qualification,Professional Qualification,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Total
All India,Department of Education,HSS (I-XII),Graduate,Bachelor of Elementary Education (B.El.Ed.),26,2,17,6,43,8,51,1010,1282,95,237,1122,1525,2647,315,296,24,90,434,623,868,160,145,5,18,189,253,442,18,12,23,30,53
All India,Department of Education,HSS (I-XII),Graduate,B.Ed. or equivalent,142,8,22,10,164,18,182,1530,2110,1509,3890,3061,6010,9071,4522,5095,2382,7564,8413,16549,16826,4266,5285,406,1476,7054,14325,21379,253,368,659,1844,2503
All India,Department of Education,HSS (I-XII),Graduate,Diploma/degree in special education,7,0,1,1,8,1,9,64,86,41,87,106,174,280,108,125,32,71,181,283,362,74,75,21,46,127,192,319,10,19,31,65,96
All India,Department of Education,HSS (I-XII),Graduate,Diploma or certificate in basic teachers training of a duration not less than two years,130,10,71,24,201,34,235,4914,4642,542,941,5527,5607,11134,942,1361,70,197,1554,2499,3108,232,442,28,57,330,696,1026,44,56,72,113,185
All India,Department of Education,HSS (I-XII),Graduate,M.Ed. or equivalent,4,0,0,0,4,0,4,26,13,15,32,41,45,86,75,56,29,66,119,154,238,66,68,9,29,104,163,267,16,15,25,44,69
All India,Department of Education,HSS (I-XII),Graduate,None,1,1,10,2,11,3,14,156,217,68,108,234,327,561,164,310,242,461,474,879,948,193,462,42,69,477,992,1469,27,67,69,136,205
All India,Department of Education,HSS (I-XII),Graduate,Others,81,3,26,6,107,9,116,469,680,210,694,705,1380,2085,453,787,238,783,901,2264,1802,375,858,88,369,701,2010,2711,99,150,187,519,706
All India,Department of Education,HSS (I-XII),Graduate,Pursuing any relevant professional course,2,0,4,0,6,0,6,41,49,43,73,88,122,210,58,106,38,64,139,243,278,18,35,10,44,66,143,209,4,10,14,54,68
All India,Department of Education,HSS (I-XII),Graduate,,209,6,5,1,214,7,221,225,219,37,65,267,285,552,73,113,8,40,118,218,236,28,84,0,10,36,134,170,4,8,4,18,22
All India,Department of Education,HSS (I-XII),Higher secondary,Bachelor of Elementary Education (B.El.Ed.),3,0,9,3,12,3,15,873,2028,51,118,933,2149,3082,47,71,5,6,103,195,206,5,9,0,7,10,22,32,3,8,3,15,18
